"Timestamp","How old are you?","What is your nationality (nationalities)?","Where do you currently reside (city and country)?","What is your occupation?","How often do you travel per year (by airline, train, bus, etc.)?","What type of luggage do you use when travelling? (multiple answers possible)","Do you use bulky luggage and if so, for what items?","Do you plan to buy a new piece of luggage in the next year?","If yes, what type of luggage and why?","Have you ever had to repack your luggage because you exceeded the weight limit?","Have you ever left behind your luggage somewhere when travelling?","Has your luggage ever been misplaced by an airline?","Do you own any smart luggage?","If yes, which smart luggage do you own and why did you buy it? ","If no, what currently prevents you from purchasing a smart luggage?","Do you own and use an AirTag or similar tracking device when travelling?","What would enhance your travel experience when travelling with luggage (e.g. tracking device, integrated scale)?","What are your biggest concern(s)/fear(s) when travelling with luggage?","How much would you be willing to pay for such a solution?"
"2023/11/13 12:59:05 pm CET","49","German","Suzhou, China","Graphic designer","7-9","Suitcase (carry-on);Suitcase (check-in luggage);Duffel bag/Weekender;Handbag;Laptop bag","no","Yes","check in luggage","Yes","No","Yes","No","","don't trust smart devices","No","I haven't needed it before and don't think I will in the future","Luggage theft;Damaged luggage;Luggage mix up","I would not buy such a solution"
"2023/11/13 1:00:49 pm CET","22","German ","Kirchentellinsfurt, Germany ","Student ","10-15","Suitcase (check-in luggage);Backpack (below 50 litre)","","No","","No","No","No","No","","No need for it","No","Tracking device ","Loosing your luggage;Misplaced luggage (by the carrier);Delayed luggage","46-60 €"
"2023/11/13 1:01:07 pm CET","47","german, swiss","Switzerland","Civil Engineering","1-3","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (50 litre and above);Backpack (below 50 litre);Handbag","Child Seat","No","","Yes","Yes","Yes","No","","No need","No","USB charging ports","Loosing your luggage;Luggage theft","1-15 €"
"2023/11/13 1:01:26 pm CET","24","germqn","uk","Student","More than 15 times","Backpack (below 50 litre);Handbag","clothing","No","","No","No","No","Yes","Usb charging (gift)","","No","Tracking device","Misplaced luggage (by the carrier);Delayed luggage","16-30 €"
"2023/11/13 1:01:51 pm CET","45","German and British","United Kingdom, Cambridgeshire","Self-employed consultant","1-3","Suitcase (carry-on);Suitcase (check-in luggage);Duffel bag/Weekender;Handbag;Laptop bag","no","No","","Yes","No","Yes","No","","","Yes","I have a suitcase with an AirTag but none of the airlines I have flown with so far actually support the technology!","Damaged luggage;Delayed luggage","46-60 €"
"2023/11/13 1:02:40 pm CET","21","German","Country","Assistent Productionmanager","4-6","Duffel bag/Weekender","","No","","No","No","No","No","","I like my dufffle bag and I don't have the need for USB ports and stuff like that on my bag or backpack","No","I'm thinking of a tracking device but more for other stuff like keys or my wallet","Loosing your luggage;Luggage theft","16-30 €"
"2023/11/13 1:04:24 pm CET","27","German","Darmstadt, Germany","PostDoc","10-15","Suitcase (carry-on);Backpack (50 litre and above)","for longer holidays (~10+ days), I use a big suitcase","Yes","suitcase (checked-in luggage) as my old one is quite old and starts to fall apart in places","Yes","No","No","No","","no need to spend money on luggage because I currently own suitcases; do not use a large suitcase frequently enough to warrant spending more money on smart features; never misplaced my backpack/carry-on and always bring it with me so no real need for a tracking function; own a suitcase scale","No","tracking device","Overweight fees;Delayed luggage","16-30 €"
"2023/11/13 1:05:32 pm CET","53","German","Dubai, United Arab Emirates","Personal assistant","4-6","Suitcase (carry-on);Suitcase (check-in luggage);Duffel bag/Weekender;Handbag","No","No","","Yes","No","Yes","No","","Restrictions from airlines","No","Don’t know","Misplaced luggage (by the carrier);Damaged luggage","I would not buy such a solution"
"2023/11/13 1:06:20 pm CET","20","Germany","Madrid, Spain","Student","4-6","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre)","For longer vacations and when I moved from Germany to Spain, so mostly clothes ","Yes","A small hand luggage suitcase (to be taken in the plane), because it costs less than a regular big suitcase (and is even free with some airlines)","No","No","No","No","","I don‘t think I need it, but I haven’t given it much thought before","No","I don‘t need much…. My suitcase should hold my stuff and be distiguishable from other suitcases ","Overweight fees;Luggage mix up;Delayed luggage","I would not buy such a solution"
"2023/11/13 1:11:57 pm CET","42","German","Munich Germany ","Housewife","More than 15 times","Suitcase (carry-on);Suitcase (check-in luggage);Handbag","No","No","","No","No","Yes","No","","","No","It an opportunity ","Damaged luggage;Delayed luggage","76-100 €"
"2023/11/13 1:11:57 pm CET","19","German","Dublin, Ireland","Student","10-15","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (below 50 litre);Handbag","","No","","Yes","No","No","No","","I so far have not felt like I needed it but it also has not been on my radar","No","An integrated scale would probably be very helpful","Loosing your luggage;Misplaced luggage (by the carrier);Luggage theft;Luggage mix up","31-45 €"
"2023/11/13 1:12:41 pm CET","21","German","Mannheim, Germany","Student","10-15","Suitcase (carry-on);Suitcase (check-in luggage);Backpack (50 litre and above);Duffel bag/Weekender;Handbag;Laptop bag","","No","","No","No","No","No","","That I already own a normal suitcase/bag","No","Tracking device","Loosing your luggage;Misplaced luggage (by the carrier);Luggage theft","31-45 €"
"2023/11/13 1:13:59 pm CET","20","German","Dublin","Student","More than 15 times","Suitcase (carry-on);Duffel bag/Weekender;Handbag","","Yes","Duffel bag because old one is damaged","Yes","No","No","No","","Have not bought a new suitcase","No","Integrated Scale","Misplaced luggage (by the carrier)","31-45 €"
"2023/11/13 1:16:18 pm CET","23","German","Mannheim, Germany","Student","10-15","Suitcase (carry-on);Suitcase (check-in luggage)","If you travel for a longer period of stuff, you simply need more space","No","","No","No","Yes","No","","Upgrade after sale, e.g. Apple Location Chip","Yes","AirTag","Damaged luggage","46-60 €"
